0,room_type,neighborhood,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
poco visitado,Entire home/apt,Eixample,3.5,10,4.0,553.0,41.389069,2.171073
poco visitado,Entire home/apt,Sant Martí,4.5,10,4.0,634.0,41.406362,2.214654
poco visitado,Entire home/apt,Eixample,5.0,8,5.0,543.0,41.392485,2.160596
poco visitado,Entire home/apt,Sant Martí,5.0,10,4.0,634.0,41.405168,2.216153
poco visitado,Entire home/apt,Eixample,4.5,16,6.0,550.0,41.387099,2.163375
poco visitado,Entire home/apt,Eixample,4.5,5,3.0,579.0,41.397889,2.172995
poco visitado,Entire home/apt,Ciutat Vella,1.0,8,4.0,603.0,41.378747,2.176723
poco visitado,Entire home/apt,Ciutat Vella,5.0,4,1.0,603.0,41.37947800000001,2.175292
poco visitado,Entire home/apt,Ciutat Vella,5.0,8,4.0,694.0,41.389104,2.178159
poco visitado,Entire home/apt,Sants-Montjuïc,4.5,12,6.0,362.0,41.351938,2.14848
poco visitado,Entire home/apt,Eixample,5.0,16,6.0,452.0,41.402722,2.172078
poco visitado,Entire home/apt,Ciutat Vella,3.0,8,3.0,422.0,41.377433,2.176818
poco visitado,Entire home/apt,Sant Martí,4.5,10,4.0,422.0,41.402772,2.212001
poco visitado,Entire home/apt,Eixample,3.5,10,4.0,515.0,41.387919,2.166072
poco visitado,Entire home/apt,Eixample,5.0,7,4.0,391.0,41.390675,2.161607
poco visitado,Entire home/apt,Sant Martí,4.0,6,3.0,338.0,41.390838,2.196313
poco visitado,Entire home/apt,Eixample,4.5,5,3.0,362.0,41.390156,2.176552
poco visitado,Entire home/apt,Ciutat Vella,5.0,7,3.0,217.0,41.377409,2.175822
poco visitado,Entire home/apt,Ciutat Vella,3.0,8,3.0,409.0,41.37736500000001,2.176989
poco visitado,Entire home/apt,Eixample,4.5,16,6.0,420.0,41.388816,2.162492
poco visitado,Entire home/apt,Eixample,5.0,10,5.0,489.0,41.386512,2.165117
poco visitado,Entire home/apt,Ciutat Vella,5.0,4,2.0,312.0,41.37860300000001,2.171797
poco visitado,Entire home/apt,Eixample,5.0,6,3.0,489.0,41.384296,2.162874
poco visitado,Entire home/apt,Eixample,4.5,3,1.0,409.0,41.39038,2.176063
poco visitado,Entire home/apt,Sants-Montjuïc,4.5,9,5.0,433.0,41.373887,2.16845
poco visitado,Entire home/apt,Eixample,5.0,6,2.0,361.0,41.387518,2.171346
poco visitado,Entire home/apt,Eixample,5.0,4,2.0,419.0,41.390643,2.1638
poco visitado,Entire home/apt,Eixample,4.5,5,3.0,390.0,41.393336,2.163676
muy visitado,Entire home/apt,Eixample,5.0,10,5.0,420.0,41.391609,2.1777580000000003
moderado,Entire home/apt,Eixample,5.0,8,4.0,475.0,41.393652,2.170757
poco visitado,Entire home/apt,Sant Martí,4.5,6,2.0,361.0,41.392206,2.191329
poco visitado,Entire home/apt,Sant Martí,4.0,8,3.0,324.0,41.389089,2.196905
poco visitado,Entire home/apt,Sant Martí,4.5,6,2.0,361.0,41.391677,2.191328
muy visitado,Entire home/apt,Eixample,4.0,6,4.0,361.0,41.396751,2.18086
poco visitado,Entire home/apt,Ciutat Vella,4.0,9,4.0,361.0,41.379822,2.179825
poco visitado,Entire home/apt,Sant Martí,4.5,10,6.0,451.0,41.386067,2.1992990000000003
